feature,psi,psi_status,ks_statistic,ks_p_value,ks_drift
var_185,0.00031536094891631,stable,0.006125000000000047,0.20950041366454575,False
var_47,0.0003124487321840913,stable,0.005358333333333326,0.35388744671230743,False
var_76,0.00031062571454543414,stable,0.005641666666666656,0.29418823088863044,False
var_73,0.00030913716217084426,stable,0.0036833333333333163,0.8089372533949462,False
var_196,0.00030595961314236887,stable,0.0032166666666666455,0.9144498538731007,False
var_161,0.00030336382603925204,stable,0.0046916666666666496,0.5222129525317303,False
var_120,0.000302827289866893,stable,0.004924999999999957,0.4592694462390644,False
var_77,0.0003025078240017526,stable,0.004475,0.5835486653460467,False
var_59,0.0003019904592315719,stable,0.007550000000000001,0.06508321081509238,False
var_193,0.0003006238570242711,stable,0.004591666666666661,0.5502391081162312,False
var_168,0.0003000096022713428,stable,0.005358333333333354,0.3538874467123013,False
var_191,0.00029948206646806554,stable,0.005441666666666678,0.33554986500657447,False
var_163,0.0002986359899311806,stable,0.004408333333333347,0.6028104919285342,False
var_118,0.00029268834921122004,stable,0.007308333333333361,0.08074095357287991,False
var_103,0.0002819823563806572,stable,0.004241666666666699,0.6513770531963587,False
var_150,0.00028148375721995304,stable,0.003566666666666718,0.8385626935086199,False
var_42,0.0002789743720481023,stable,0.004391666666666683,0.607645756734786,False
var_43,0.0002783695238291456,stable,0.005416666666666625,0.3409833281990924,False
var_93,0.00027758768057039164,stable,0.004425000000000012,0.5979825087957038,False
var_144,0.00027496573593818583,stable,0.006350000000000022,0.17708319898721459,False
var_146,0.0002746977462528419,stable,0.0033249999999999946,0.8933540407172876,False
var_183,0.00027440742739112423,stable,0.003908333333333347,0.7476360695229767,False
var_32,0.00027322174142926405,stable,0.004408333333333347,0.6028104919285342,False
var_23,0.0002728313303510865,stable,0.006649999999999989,0.1401576952450373,False
var_12,0.0002715560182034856,stable,0.004574999999999996,0.5549608451169747,False
var_60,0.0002700103470841585,stable,0.004174999999999984,0.6708469138736746,False
var_46,0.0002694926283771214,stable,0.005316666666666636,0.363297350555581,False
var_37,0.0002689827709951685,stable,0.0064750000000000085,0.16085805843219114,False
var_197,0.00026892655651762013,stable,0.006816666666666582,0.12249904962228786,False
var_111,0.00026655521610000906,stable,0.00440833333333332,0.6028104919285422,False
var_113,0.0002649922181324688,stable,0.005733333333333368,0.2764825316755497,False
var_44,0.00026071529603428423,stable,0.005166666666666653,0.39848090086124377,False
var_106,0.0002574041824541406,stable,0.0044500000000000095,0.590755601891708,False
var_75,0.00025604377827584586,stable,0.00355833333333333,0.840608464116027,False
var_18,0.0002516873535627479,stable,0.00275000000000003,0.9766554405815481,False
var_67,0.0002504420720978787,stable,0.005166666666666653,0.39848090086124377,False
var_96,0.000250389688654271,stable,0.004591666666666716,0.5502391081162156,False
var_137,0.00024999966546167236,stable,0.003916666666666679,0.745286131418466,False
var_158,0.0002476284658633487,stable,0.002949999999999897,0.9558099473543936,False
var_90,0.00024217339966285404,stable,0.004633333333333378,0.5384956816283566,False
var_21,0.00024175977558125677,stable,0.00307500000000005,0.9383552641109687,False
var_198,0.0002408654620350331,stable,0.0038750000000000173,0.7569889883416255,False
var_85,0.00023302521286418723,stable,0.0049000000000000155,0.4658276739481053,False
var_173,0.0002305269583349812,stable,0.00577500000000003,0.2686930787966899,False
var_78,0.0002284955551578903,stable,0.004349999999999993,0.6197613974941011,False
var_180,0.00022680960526155986,stable,0.0038083333333334135,0.7754432379284318,False
var_58,0.000225631262739178,stable,0.006025000000000003,0.22529496108861125,False
var_88,0.00022336827311160624,stable,0.0027916666666666645,0.97300888099709,False
var_25,0.00022153624240532098,stable,0.0036666666666666653,0.8132751699200911,False
var_17,0.00022149658715135074,stable,0.004291666666666694,0.6367722255152435,False
var_149,0.0002205582789955127,stable,0.006691666666666651,0.13556058467528487,False
var_159,0.00021479960762805085,stable,0.003791666666666693,0.7799983088805245,False
